date,value_type,value,conf_lo,conf_hi
2010-02-05,actual,165765.5,,
2010-02-12,actual,163407.19,,
2010-02-19,actual,155428.24,,
2010-02-26,actual,146064.26,,
2010-03-05,actual,152308.67,,
2010-03-12,actual,151599.46,,
2010-03-19,actual,149409.91,,
2010-03-26,actual,129894.42,,
2010-04-02,actual,140407.04,,
2010-04-09,actual,135229.8,,
2010-04-16,actual,145344.39,,
2010-04-23,actual,140299.23,,
2010-04-30,actual,126903,,
2010-05-07,actual,152987.75,,
2010-05-14,actual,138683.96,,
2010-05-21,actual,147771.8,,
2010-05-28,actual,122496.24,,
2010-06-04,actual,132582.49,,
2010-06-11,actual,134433.89,,
2010-06-18,actual,141356.33,,
2010-06-25,actual,124241.11,,
2010-07-02,actual,133322.22,,
2010-07-09,actual,140226.35,,
2010-07-16,actual,144265,,
2010-07-23,actual,136043.51,,
2010-07-30,actual,127418.82,,
2010-08-06,actual,141768.75,,
2010-08-13,actual,147963.18,,
2010-08-20,actual,144781.3,,
2010-08-27,actual,130191.35,,
2010-09-03,actual,140141.32,,
2010-09-10,actual,147769.71,,
2010-09-17,actual,150217.63,,
2010-09-24,actual,142300.68,,
2010-10-01,actual,137844.39,,
2010-10-08,actual,151921.38,,
2010-10-15,actual,145276.99,,
2010-10-22,actual,150744.79,,
2010-10-29,actual,136737.64,,
2010-11-05,actual,158346.4,,
2010-11-12,actual,163299.52,,
2010-11-19,actual,182935.75,,
2010-11-26,actual,196464.78,,
2010-12-03,actual,137541.89,,
2010-12-10,actual,160984.11,,
2010-12-17,actual,172430.68,,
2010-12-24,actual,196184.4,,
2010-12-31,actual,122263.2,,
2011-01-07,actual,155246.63,,
2011-01-14,actual,159261.88,,
2011-01-21,actual,161760,,
2011-01-28,actual,142389.17,,
2011-02-04,actual,164933.31,,
2011-02-11,actual,171158.16,,
2011-02-18,actual,162413.31,,
2011-02-25,actual,150563.95,,
2011-03-04,actual,155777.29,,
2011-03-11,actual,160376.33,,
2011-03-18,actual,154902.77,,
2011-03-25,actual,140221.1,,
2011-04-01,actual,135581.2,,
2011-04-08,actual,161295.36,,
2011-04-15,actual,151528.19,,
2011-04-22,actual,162671.24,,
2011-04-29,actual,124513.19,,
2011-05-06,actual,156193.9,,
2011-05-13,actual,144035.29,,
2011-05-20,actual,152839.08,,
2011-05-27,actual,138104.79,,
2011-06-03,actual,143237.14,,
2011-06-10,actual,153255.27,,
2011-06-17,actual,158924.04,,
2011-06-24,actual,145197.92,,
2011-07-01,actual,144234.59,,
2011-07-08,actual,157806.34,,
2011-07-15,actual,160569.91,,
2011-07-22,actual,155135.14,,
2011-07-29,actual,143204.67,,
2011-08-05,actual,161865.01,,
2011-08-12,actual,159670.68,,
2011-08-19,actual,171553.94,,
2011-08-26,actual,152595.4,,
2011-09-02,actual,152433.05,,
2011-09-09,actual,168013.66,,
2011-09-16,actual,168867.79,,
2011-09-23,actual,163451.54,,
2011-09-30,actual,146263.17,,
2011-10-07,actual,178151.02,,
2011-10-14,actual,166415.23,,
2011-10-21,actual,171337.35,,
2011-10-28,actual,159591.49,,
2011-11-04,actual,179147.18,,
2011-11-11,actual,182939.8,,
2011-11-18,actual,202030.01,,
2011-11-25,actual,231334.61,,
2011-12-02,actual,159582.35,,
2011-12-09,actual,186204.36,,
2011-12-16,actual,195603.8,,
2011-12-23,actual,239759.31,,
2011-12-30,actual,140979.34,,
2012-01-06,actual,183928.47,,
2012-01-13,actual,186643.74,,
2012-01-20,actual,180360.5,,
2012-01-27,actual,166185.52,,
2012-02-03,actual,178296.21,,
2012-02-10,actual,186879.53,,
2012-02-17,actual,181812.66,,
2012-02-24,actual,172569.55,,
2012-03-02,actual,170055.87,,
2012-03-09,actual,176296.64,,
2012-03-16,actual,175034.39,,
2012-03-23,actual,162949.94,,
2012-03-30,actual,150911.48,,
